m0_mark_price,m0_oracle_price,m0_market_index,m0_base_asset_amount_long,m0_base_asset_amount_short,m0_base_asset_amount,m0_total_base_asset_amount,m0_open_interest,m0_total_exchange_fees,m0_total_mm_fees,m0_margin_ratio_initial,m0_margin_ratio_maintenance,m0_margin_ratio_partial,m0_base_asset_reserve,m0_quote_asset_reserve,m0_funding_period,m0_sqrt_k,m0_peg_multiplier,m0_last_funding_rate,m0_last_funding_rate_ts,m0_cumulative_funding_rate_long,m0_cumulative_funding_rate_short,m0_last_oracle_price,m0_last_oracle_conf,m0_last_oracle_normalised_price,m0_last_oracle_price_twap,m0_last_oracle_price_twap_ts,m0_last_mark_price_twap,m0_last_bid_price_twap,m0_last_ask_price_twap,m0_last_mark_price_twap_ts,m0_net_base_asset_amount,m0_base_spread,m0_mark_std,m0_buy_intensity,m0_sell_intensity,m0_last_spread,m0_bid_price_before,m0_ask_price_before,m0_total_fee,m0_total_fee_minus_distributions,m0_strategies,m0_minimum_quote_asset_trade_size,timestamp,u0_collateral,u0_free_collateral,u0_margin_ratio,u0_total_position_value,u0_total_fee_paid,u0_total_fee_rebate,u0_open_orders,u0_cumulative_deposits,u0_total_collateral,u0_m0_base_asset_amount,u0_m0_quote_asset_amount,u0_m0_last_cumulative_funding_rate,u0_m0_last_funding_rate_ts,u0_m0_upnl,u0_m0_ufunding
4.496,4.496235768028057,0,0.0,0.0,0.0,0,0,0.0,0,1000,625,500,10000000000000.0,10000000000000.0,60,10000000000000.0,4496,0.0,0,0.0,0.0,4.496235768028057,0,4.496235768028057,4.496235768028057,0,4.496,4.496,4.496,0,0.0,0,0.0,0,0,0,4.496,4.496,0.0,0.0,,10000000,0,,,,,,,,,,,,,,,
4.496,4.496235768028057,0,0.0,0.0,0.0,0,0,0.0,0,1000,625,500,10000000000000.0,10000000000000.0,60,10000000000000.0,4496,0.0,0,0.0,0.0,4.496235768028057,0,4.496235768028057,4.496235768028057,0,4.496,4.496,4.496,0,0.0,0,0.0,0,0,0,4.496,4.496,0.0,0.0,,10000000,1,1000000000.0,1000000000.0,,0.0,0.0,0.0,0.0,1000000000.0,1000000000.0,,,,,,
4.23298148911944,4.1910704555876865,0,0.0,-305995930323.58203,-305995930323.58203,0,1,1334.91,0,1000,625,500,10305995930323.582,9703089412811.389,60,10000000000000.0,4496,0.0,0,0.0,0.0,4.1910704555876865,0,4.496235768028057,4.496235768028057,2,4.496,4.496,4.496,2,-305995930323.58203,0,0.2630185108805607,0,0,0,4.496,4.496,1334.91,1334.91,,10000000,2,999998665.09,999985314.89,7491.0756007101745,133491.99999999965,1334.91,0.0,0.0,1000000000.0,999998664.09,-305995930323.58203,133491.0,0.0,0.0,-0.999999999650754,-0.0
3.5123849011621457,3.477607525970603,0,0.0,-1313893869334.086,-1313893869334.086,0,1,5221.25,0,1000,625,500,11313893869334.086,8838689946619.219,60,10000000000000.0,4496,0.0,0,0.0,0.0,3.477607525970603,0,4.496235768028057,4.491149679487384,3,4.49161635815199,4.4959999999999996,4.4959999999999996,3,-1313893869334.086,0,0.9836150988378547,0,0,0,4.23298148911944,4.23298148911944,5221.25,5221.25,,10000000,3,999994778.75,999942565.15,1915.2365094823886,522125.9999999992,5221.25,0.0,0.0,1000000000.0,999994777.75,-1313893869334.086,522125.0,0.0,0.0,-0.9999999991850927,-0.0
3.5123849011621457,3.477607525970603,0,0.0,-1313893869334.086,-1313893869334.086,0,1,5221.25,0,1000,625,500,11313893869334.086,8838689946619.219,60,10000000000000.0,4496,0.0,0,0.0,0.0,3.477607525970603,0,4.496235768028057,4.491149679487384,3,4.49161635815199,4.4959999999999996,4.4959999999999996,3,-1313893869334.086,0,0.9836150988378547,0,0,0,4.23298148911944,4.23298148911944,5221.25,5221.25,,10000000,4,999994778.75,999942565.15,1915.2365094823886,522125.9999999992,5221.25,0.0,0.0,1000000000.0,999994777.75,-1313893869334.086,522125.0,0.0,0.0,-0.9999999991850927,-0.0
3.5123849011621457,3.477607525970603,0,0.0,-1313893869334.086,-1313893869334.086,0,1,5221.25,0,1000,625,500,11313893869334.086,8838689946619.219,60,10000000000000.0,4496,0.0,0,0.0,0.0,3.477607525970603,0,4.496235768028057,4.491149679487384,3,4.49161635815199,4.4959999999999996,4.4959999999999996,3,-1313893869334.086,0,0.9836150988378547,0,0,0,4.23298148911944,4.23298148911944,5221.25,5221.25,,10000000,5,999994778.75,999942565.15,1915.2365094823886,522125.9999999992,5221.25,0.0,0.0,1000000000.0,999994777.75,-1313893869334.086,522125.0,0.0,0.0,-0.9999999991850927,-0.0
3.5123849011621457,3.477607525970603,0,0.0,-1313893869334.086,-1313893869334.086,0,1,5221.25,0,1000,625,500,11313893869334.086,8838689946619.219,60,10000000000000.0,4496,0.0,0,0.0,0.0,3.477607525970603,0,4.496235768028057,4.491149679487384,3,4.49161635815199,4.4959999999999996,4.4959999999999996,3,-1313893869334.086,0,0.9836150988378547,0,0,0,4.23298148911944,4.23298148911944,5221.25,5221.25,,10000000,6,999994778.75,999942565.15,1915.2365094823886,522125.9999999992,5221.25,0.0,0.0,1000000000.0,999994777.75,-1313893869334.086,522125.0,0.0,0.0,-0.9999999991850927,-0.0
3.5123849011621457,3.477607525970603,0,0.0,-1313893869334.086,-1313893869334.086,0,1,5221.25,0,1000,625,500,11313893869334.086,8838689946619.219,60,10000000000000.0,4496,0.0,0,0.0,0.0,3.477607525970603,0,4.496235768028057,4.491149679487384,3,4.49161635815199,4.4959999999999996,4.4959999999999996,3,-1313893869334.086,0,0.9836150988378547,0,0,0,4.23298148911944,4.23298148911944,5221.25,5221.25,,10000000,7,999994778.75,999942565.15,1915.2365094823886,522125.9999999992,5221.25,0.0,0.0,1000000000.0,999994777.75,-1313893869334.086,522125.0,0.0,0.0,-0.9999999991850927,-0.0
3.5123849011621457,3.477607525970603,0,0.0,-1313893869334.086,-1313893869334.086,0,1,5221.25,0,1000,625,500,11313893869334.086,8838689946619.219,60,10000000000000.0,4496,0.0,0,0.0,0.0,3.477607525970603,0,4.496235768028057,4.491149679487384,3,4.49161635815199,4.4959999999999996,4.4959999999999996,3,-1313893869334.086,0,0.9836150988378547,0,0,0,4.23298148911944,4.23298148911944,5221.25,5221.25,,10000000,8,999994778.75,999942565.15,1915.2365094823886,522125.9999999992,5221.25,0.0,0.0,1000000000.0,999994777.75,-1313893869334.086,522125.0,0.0,0.0,-0.9999999991850927,-0.0
4.081319947959297,4.122547130926778,0,0.0,-495734357072.07227,-495734357072.07227,0,1,8318.95,0,1000,625,500,10495734357072.072,9527680160142.35,60,10000000000000.0,4496,0.0,0,0.0,0.0,4.122547130926778,0,4.496235768028057,4.389795464135705,9,4.393693212453005,4.469698148911943,4.469698148911943,9,-495734357072.07227,0,1.5525501456350064,0,0,0,3.5123849011621457,3.5123849011621457,8318.95,8318.95,,10000000,9,1000007037.4131789,999970444.4499999,4709.034263453831,212355.99999999962,8318.95,0.0,0.0,1000000000.0,999991680.05,-495734357072.07227,196998.63682097843,0.0,0.0,-15357.363179021195,-0.0
