authority,referrer,fees,next_epoch_ts,maker_volume30d,taker_volume30d,filler_volume30d,last_maker_volume30d_ts,last_taker_volume30d_ts,last_filler_volume30d_ts,if_staked_quote_asset_amount,number_of_sub_accounts,max_sub_account_id,is_referrer,padding,slot,write_version,updated_on
AiYjj5N7p9szDZH9dnmCztQB8MWPQmCiXQe9x6kaMsUq,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1667235996,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",25,523,2022-10-31 17:06:37.205191
AiYjj5N7p9szDZH9dnmCztQB8MWPQmCiXQe9x6kaMsUq,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1667235996,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",27,616,2022-10-31 17:06:37.967707
AiYjj5N7p9szDZH9dnmCztQB8MWPQmCiXQe9x6kaMsUq,11111111111111111111111111111111,"UserFees(total_fee_paid=24, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,23499,0,1667235996,1667236036,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",107,1449,2022-10-31 17:07:16.596760
AiYjj5N7p9szDZH9dnmCztQB8MWPQmCiXQe9x6kaMsUq,11111111111111111111111111111111,"UserFees(total_fee_paid=24, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,109453707,0,1667235996,1667236044,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",125,1758,2022-10-31 17:07:25.227480
AiYjj5N7p9szDZH9dnmCztQB8MWPQmCiXQe9x6kaMsUq,11111111111111111111111111111111,"UserFees(total_fee_paid=24, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,109453707,0,1667235996,1667236044,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",127,1777,2022-10-31 17:07:25.991621
AiYjj5N7p9szDZH9dnmCztQB8MWPQmCiXQe9x6kaMsUq,11111111111111111111111111111111,"UserFees(total_fee_paid=24, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,109453707,0,1667235996,1667236044,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",129,1816,2022-10-31 17:07:27.147979
AiYjj5N7p9szDZH9dnmCztQB8MWPQmCiXQe9x6kaMsUq,11111111111111111111111111111111,"UserFees(total_fee_paid=24, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,109453707,0,1667235996,1667236044,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",378,4468,2022-10-31 17:09:25.735460
