m0_mark_price,m0_oracle_price,m0_bid_price,m0_ask_price,m0_wouldbe_peg,m0_wouldbe_peg_cost,m0_predicted_long_funding,m0_predicted_short_funding,m0_last_mid_price_twap,m0_repeg_to_oracle_cost,m0_market_index,m0_base_asset_amount_long,m0_base_asset_amount_short,m0_base_asset_amount,m0_total_base_asset_amount,m0_open_interest,m0_total_exchange_fees,m0_total_mm_fees,m0_margin_ratio_initial,m0_margin_ratio_maintenance,m0_margin_ratio_partial,m0_base_asset_reserve,m0_quote_asset_reserve,m0_funding_period,m0_sqrt_k,m0_peg_multiplier,m0_cumulative_funding_payment_per_lp,m0_cumulative_fee_per_lp,m0_cumulative_net_base_asset_amount_per_lp,m0_cumulative_net_quote_asset_amount_per_lp,m0_total_lp_shares,m0_amm_lp_shares,m0_lp_fee_payment,m0_lp_funding_payment,m0_upnl,m0_last_funding_rate,m0_last_funding_rate_ts,m0_cumulative_funding_rate_long,m0_cumulative_funding_rate_short,m0_last_oracle_price,m0_last_oracle_conf,m0_last_oracle_normalised_price,m0_last_oracle_price_twap,m0_last_oracle_price_twap_ts,m0_last_mark_price,m0_last_mark_price_twap,m0_last_bid_price_twap,m0_last_ask_price_twap,m0_last_mark_price_twap_ts,m0_net_base_asset_amount,m0_base_spread,m0_mark_std,m0_buy_intensity,m0_sell_intensity,m0_last_spread,m0_bid_price_before,m0_ask_price_before,m0_total_fee,m0_total_fee_minus_distributions,m0_strategies,m0_minimum_quote_asset_trade_size,m0_minimum_base_asset_trade_size,m0_quote_asset_amount_long,m0_quote_asset_amount_short,m0_terminal_quote_asset_reserve,u0_collateral,u0_free_collateral,u0_margin_ratio,u0_total_position_value,u0_total_fee_paid,u0_total_fee_rebate,u0_open_orders,u0_cumulative_deposits,u0_total_collateral,u1_collateral,u1_free_collateral,u1_margin_ratio,u1_total_position_value,u1_total_fee_paid,u1_total_fee_rebate,u1_open_orders,u1_cumulative_deposits,u1_total_collateral,timestamp,u1_m0_user_index,u1_m0_base_asset_amount,u1_m0_quote_asset_amount,u1_m0_last_cumulative_funding_rate,u1_m0_last_funding_rate_ts,u1_m0_lp_shares,u1_m0_lp_base_asset_amount,u1_m0_lp_quote_asset_amount,u1_m0_last_cumulative_funding_rate_lp,u1_m0_last_cumulative_fee_per_lp,u1_m0_last_cumulative_net_base_asset_amount_per_lp,u1_m0_lp_funding_payments,u1_m0_lp_fee_payments,u1_m0_market_fee_payments,u1_m0_market_funding_payments,u1_m0_total_baa,u1_m0_upnl,u1_m0_upnl_noslip,u1_m0_ufunding
1.103,1.1036963056052318,1.103,1.103,1.103,0.0,-2.6286881095806573e-07,-2.6286881095806573e-07,1.103,0.0,0,0.0,0,0,0,0,0.0,0.0,1000,625,500,10000000000000000000,10000000000000000000,60,1e+19,1103,0.0,0.0,0.0,0.0,1e+19,1e+19,0,0.0,0,0,0.0,0,0,1.1036963056052318,0,1.1036963056052318,1.1036963056052318,0.0,0,1.103,1.103,1.103,0.0,0.0,0,0.0,0,0,0,1.103,1.103,0.0,0.0,,10000000,10000000,0,0,1e+19,10001000000000.0,10001000000000.0,,0,0,0,0,10001000000000,10001000000000.0,1000000000.0,1000000000.0,,0.0,0,0,0,1000000000,1000000000.0,0.0,,,,,,,,,,,,,,,,,,,
1.103,1.1036963056052318,1.103,1.103,1.103,0.0,-2.6286881095806573e-07,-2.6286881095806573e-07,1.103,0.0,0,0.0,0,0,0,0,0.0,0.0,1000,625,500,10000000000000000000,10000000000000000000,60,1e+19,1103,0.0,0.0,0.0,0.0,1e+19,1e+19,0,0.0,0,0,0.0,0,0,1.1036963056052318,0,1.1036963056052318,1.1036963056052318,0.0,0,1.103,1.103,1.103,0.0,0.0,0,0.0,0,0,0,1.103,1.103,0.0,0.0,,10000000,10000000,0,0,1e+19,10001000000000.0,10001000000000.0,,0,0,0,0,10001000000000,10001000000000.0,65017000000.0,65017000000.0,,0.0,0,0,0,65017000000,65017000000.0,1.0,,,,,,,,,,,,,,,,,,,
1.2347494816763374,7.57492877924209,1.2347494816763374,1.2347494816763374,1.103,0.0,-3.657654095154156e-05,-3.657654095154156e-05,1.103,-0.0,0,5.4855242040176026e+17,0,0,0,1,0.0,0.0,1000,625,500,9451447579598239744,10580389845874886656,60,1e+19,1103,2013.18738287446,640.1700000000001,0.05485524204017603,6.4017e-09,1e+19,1e+19,0,-2013187382.87446,0,-367,328.0,-367,-367,7.57492877924209,0,1.1036963056052318,1.2115501801658461,328.0,0,1.1051958246946054,1.103,1.103,328.0,5.4855242040176026e+17,0,0.0,0,0,0,1.2347494816763374,1.2347494816763374,640.17,640.17,,10000000,10000000,64017000000,0,1e+19,10001000000000.0,10001000000000.0,,0,0,0,0,10001000000000,10001000000000.0,64376830000.0,57975129999.99999,1.0056208507115298,64016999999.99999,0,0,0,65017000000,64376829999.99999,328.0,1.0,5.4855242040176026e+17,64017000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640170000.0,0.0,0.0,-7.62939453125e-06,-64016932267.518326,2013.18738287446
1.234749481676338,8.44092386238745,1.234749481676338,1.234749481676338,1.103,0.0,-3.657654095154156e-05,-3.657654095154156e-05,1.103,-0.0,0,5.4855242040176026e+17,0,0,0,1,0.0,0.0,1000,625,500,18649168875169759232,20876746692937764864,60,1.9731547700085215e+19,1103,2013.18738287446,640.1700000000001,0.05485524204017603,6.4017e-09,1.9731547700085215e+19,1e+19,0,-2013187382.87446,0,-367,328.0,-367,-367,7.57492877924209,0,1.1036963056052318,1.2115501801658461,328.0,0,1.1051958246946054,1.103,1.103,328.0,5.4855242040176026e+17,0,0.0,0,0,0,1.2347494816763374,1.2347494816763374,640.17,640.17,,10000000,10000000,64017000000,0,1e+19,10001000000000.0,10001000000000.0,,0,0,0,0,10001000000000,10001000000000.0,64376830000.0,59577224747.10258,1.0054687816203844,65797105274.55842,0,0,0,65017000000,66156935274.55842,427.0,1.0,5.4855242040176026e+17,64017000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640170000.0,0.0,0.0,1780105274.5584183,-64016932267.518326,2013.18738287446
1.2347494816763374,7.556726158037958,1.2347494816763374,1.2347494816763374,1.103,0.0,-0.00034874801479651825,-0.00034874801479651825,1.234749481676324,-0.0,0,5.4855242040176026e+17,0,0,0,1,0.0,0.0,1000,625,500,9451447579598239744,10580389845874886656,60,1e+19,1103,8393.466436283954,640.1700000000001,0.05485524204017603,6.4017e-09,1e+19,1e+19,0,-8393466436.283955,0,-2295,10000000000449.0,-2662,-2662,7.556726158037958,0,1.1036963056052318,7.574928779241454,10000000000449.0,0,1.2347494816763251,1.234749481676324,1.234749481676324,10000000000449.0,5.4855242040176026e+17,0,0.0,0,0,0,1.234749481676338,1.234749481676338,640.17,640.17,,10000000,10000000,64017000000,0,1e+19,9994791001005.19,9994791001005.19,,0,0,0,0,10001000000000,9994791001005.19,64376830000.0,57975129999.99999,1.0056208507115298,64016999999.99999,0,0,0,65017000000,64376829999.99999,10000000000449.0,1.0,5.4855242040176026e+17,64017000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640170000.0,0.0,0.0,-7.62939453125e-06,-64016932267.518326,14602.465431094857
1.103,7.556726158037958,1.103,1.103,1.103,0.0,-0.00034874801479651825,-0.00034874801479651825,1.2347494816763243,-0.0,0,0.0,0,0,0,0,0.0,0.0,1000,625,500,10000000000000000000,10000000000000000000,60,1e+19,1103,8393.466436283954,1280.34,0.0,0.0,1e+19,1e+19,0,-8393466436.283955,0,-2295,10000000000449.0,-2662,-2662,7.556726158037958,0,1.1036963056052318,7.574928779241454,10000000000449.0,0,1.2347494816763251,1.2347494816763243,1.2347494816763243,10000000000450.0,0.0,0,0.0,0,0,0,1.2347494816763374,1.2347494816763374,1280.34,1280.34,,10000000,10000000,0,0,1e+19,9994791001005.19,9994791001005.19,,0,0,0,0,10001000000000,9994791001005.19,78339125431.09485,78339125431.09485,,0.0,0,0,0,65017000000,78339125431.09485,10000000000450.0,,,,,,,,,,,,,,,,,,,
