m0_mark_price,m0_oracle_price,m0_bid_price,m0_ask_price,m0_wouldbe_peg,m0_wouldbe_peg_cost,m0_predicted_long_funding,m0_predicted_short_funding,m0_last_mid_price_twap,m0_repeg_to_oracle_cost,m0_market_index,m0_base_asset_amount_long,m0_base_asset_amount_short,m0_base_asset_amount,m0_total_base_asset_amount,m0_open_interest,m0_total_exchange_fees,m0_total_mm_fees,m0_margin_ratio_initial,m0_margin_ratio_maintenance,m0_margin_ratio_partial,m0_base_asset_reserve,m0_quote_asset_reserve,m0_funding_period,m0_sqrt_k,m0_peg_multiplier,m0_last_funding_rate,m0_last_funding_rate_ts,m0_cumulative_funding_rate_long,m0_cumulative_funding_rate_short,m0_last_oracle_price,m0_last_oracle_conf,m0_last_oracle_normalised_price,m0_last_oracle_price_twap,m0_last_oracle_price_twap_ts,m0_last_mark_price_twap,m0_last_bid_price_twap,m0_last_ask_price_twap,m0_last_mark_price_twap_ts,m0_net_base_asset_amount,m0_base_spread,m0_mark_std,m0_buy_intensity,m0_sell_intensity,m0_last_spread,m0_bid_price_before,m0_ask_price_before,m0_total_fee,m0_total_fee_minus_distributions,m0_strategies,m0_minimum_quote_asset_trade_size,timestamp,u0_collateral,u0_free_collateral,u0_margin_ratio,u0_total_position_value,u0_total_fee_paid,u0_total_fee_rebate,u0_open_orders,u0_cumulative_deposits,u0_total_collateral,u0_m0_base_asset_amount,u0_m0_quote_asset_amount,u0_m0_last_cumulative_funding_rate,u0_m0_last_funding_rate_ts,u0_m0_upnl,u0_m0_ufunding
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,0.0,-1.492808554358556e-09,-1.492808554358556e-09,169.981,0.0,0,0.0,0,0.0,0,0,0.0,0.0,1000,625,500,3676216205255179776,3676216205255179776,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.981609,0,169.981,169.981,169.981,0,0.0,1000.0,0.0,0,0,1000.0,169.89602012381252,170.06600112381253,0.0,0.0,PreFreePeg_OracleRetreat,10000000,0,,,,,,,,,,,,,,,
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,0.0,-1.492808554358556e-09,-1.492808554358556e-09,169.981,0.0,0,0.0,0,0.0,0,0,0.0,0.0,1000,625,500,3676216205255179776,3676216205255179776,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.981609,0,169.981,169.981,169.981,0,0.0,1000.0,0.0,0,0,1000.0,169.89602012381252,170.06600112381253,0.0,0.0,PreFreePeg_OracleRetreat,10000000,1,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,-0.0,-1.4919792162651376e-09,-1.4919792162651376e-09,169.9810000059021,-0.0,0,58800488960.0,0,58800488960.0,0,1,0.001,0.0004998055557631887,1000,625,500,3676209560954990080,3676222849567378432,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.98160900000002,2,169.98100033833336,169.98095278895767,169.98104722284657,2,58800488960.0,1000.0,5.4403862463914265e-06,0,0,1000.0,169.89662881935052,170.0666104283506,0.0014998055557631888,0.0014998055557631888,PreFreePeg_OracleRetreat,10000000,2,9999999999000.0,9999999898550.176,10005000.55336218,999500.1944442368,1000.0,499.80555576318875,0.0,10000000000000.0,9999999998500.195,58800488960.0,1000000.0,0.0,0.0,-499.80555576318875,0.0
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,-0.0,-1.4915647776124535e-09,-1.4915647776124535e-09,169.98100017801823,-0.0,0,117600977920.0,0,117600977920.0,0,1,0.002,0.0009996111115263774,1000,625,500,3676209560954990080,3676222849567378432,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.98160900000002,3,169.98100050740604,169.9809293656328,169.98107099040365,3,117600977920.0,1000.0,1.0880772492782853e-05,0,0,1000.0,169.89662881935052,170.0666104283506,0.0029996111115263777,0.0029996111115263777,PreFreePeg_OracleRetreat,10000000,3,9999999998000.0,9999999797100.31,5002500.384827459,1999000.3453733376,2000.0,999.6111115263775,0.0,10000000000000.0,9999999997000.346,117600977920.0,2000000.0,0.0,0.0,-999.6546266623773,0.0
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,-0.0,-1.4911504540522796e-09,-1.4911504540522796e-09,169.98100035008653,-0.0,0,176401466880.0,0,176401466880.0,0,1,0.003,0.0014994166672895662,1000,625,500,3676209560954990080,3676222849567378432,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.98160900000002,4,169.98100067643176,169.9809059488144,169.98109475135865,4,176401466880.0,1000.0,1.632115873917428e-05,0,0,1000.0,169.89662881935052,170.0666104283506,0.0044994166672895665,0.0044994166672895665,PreFreePeg_OracleRetreat,10000000,4,9999999997000.0,9999999695650.424,3335000.309289805,2998500.4701933567,3000.0,1499.4166672895662,0.0,10000000000000.0,9999999995500.47,176401466880.0,3000000.0,0.0,0.0,-1499.5298066432588,0.0
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,-0.0,-1.4907362456542836e-09,-1.4907362456542836e-09,169.98100052210702,-0.0,0,235201955840.0,0,235201955840.0,0,1,0.004,0.001999222223052755,1000,625,500,3676209560954990080,3676222849567378432,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.98160900000002,5,169.9810008454105,169.98088253850068,169.9811185057134,5,235201955840.0,1000.0,2.1761544985565706e-05,0,0,1000.0,169.89662881935052,170.0666104283506,0.005999222223052755,0.005999222223052755,PreFreePeg_OracleRetreat,10000000,5,9999999996000.0,9999999594200.504,2501250.273335915,3998000.5602012672,4000.0,1999.222223052755,0.0,10000000000000.0,9999999994000.56,235201955840.0,4000000.0,0.0,0.0,-1999.4397987327538,0.0
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,-0.0,-1.4903221522094604e-09,-1.4903221522094604e-09,169.98100069407977,-0.0,0,294002444800.0,0,294002444800.0,0,1,0.005,0.0024990277788159436,1000,625,500,3676209560954990080,3676222849567378432,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.98160900000002,6,169.98100101434235,169.98085913468984,169.9811422534697,6,294002444800.0,1000.0,2.7201931231957133e-05,0,0,1000.0,169.89662881935052,170.0666104283506,0.007499027778815944,0.007499027778815944,PreFreePeg_OracleRetreat,10000000,6,9999999995000.0,9999999492750.562,2001000.2488596656,4997500.624100096,5000.0,2499.0277788159437,0.0,10000000000000.0,9999999992500.625,294002444800.0,5000000.0,0.0,0.0,-2499.3758999044076,0.0
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,-0.0,-1.489908173857147e-09,-1.489908173857147e-09,169.9810008660047,-0.0,0,352802933760.0,0,352802933760.0,0,1,0.006,0.0029988333345791324,1000,625,500,3676209560954990080,3676222849567378432,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.98160900000002,7,169.98100118322725,169.98083573738003,169.9811659946294,7,352802933760.0,1000.0,3.264231747834856e-05,0,0,1000.0,169.89662881935052,170.0666104283506,0.008998833334579133,0.008998833334579133,PreFreePeg_OracleRetreat,10000000,7,9999999994000.0,9999999391300.588,1667500.2337521235,5997000.653186816,6000.0,2998.8333345791325,0.0,10000000000000.0,9999999991000.652,352802933760.0,6000000.0,0.0,0.0,-2999.346813184209,0.0
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,-0.0,-1.4894943105276746e-09,-1.4894943105276746e-09,169.98100103788192,-0.0,0,411603422720.0,0,411603422720.0,0,1,0.007,0.0034986388903423212,1000,625,500,3676209560954990080,3676222849567378432,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.98160900000002,8,169.98100135206522,169.98081234656948,169.98118972919434,8,411603422720.0,1000.0,3.8082703724739986e-05,0,0,1000.0,169.89662881935052,170.0666104283506,0.010498638890342322,0.010498638890342322,PreFreePeg_OracleRetreat,10000000,8,9999999993000.0,9999999289850.584,1429285.9378393674,6996500.647461427,7000.0,3498.6388903423212,0.0,10000000000000.0,9999999989500.648,411603422720.0,7000000.0,0.0,0.0,-3499.3525385726243,0.0
169.98160899999996,169.981609,169.89662881935052,170.0666104283506,169.981,-0.0,-1.4890805620817063e-09,-1.4890805620817063e-09,169.98100120971137,-0.0,0,470403911680.0,0,470403911680.0,0,1,0.008,0.00399844444610551,1000,625,500,3676209560954990080,3676222849567378432,3600,3.67621620525518e+18,169981.0,0,0,0,0,169.981609,0,169.981609,169.98160900000002,9,169.98100152085632,169.98078896225638,169.98121345716635,9,470403911680.0,1000.0,4.352308997113141e-05,0,0,1000.0,169.89662881935052,170.0666104283506,0.01199844444610551,0.01199844444610551,PreFreePeg_OracleRetreat,10000000,9,9999999992000.0,9999999188400.553,1250625.2148676864,7996000.615626956,8000.0,3998.44444610551,0.0,10000000000000.0,9999999988000.615,470403911680.0,8000000.0,0.0,0.0,-3999.384373043664,0.0
