timestamp,price
0.0,85.572105
5.0,85.628215
10.0,85.618824
11.0,85.618451
12.0,85.63705
13.0,85.63705
17.0,85.707059
21.0,85.719512
24.0,85.719512
28.0,85.730289
43.0,85.686053
68.0,85.64862
95.0,85.672135
97.0,85.792026
98.0,85.792026
100.0,85.774524
113.0,85.803797
123.0,85.75312
224.0,85.692915
246.0,85.620522
250.0,85.57795
255.0,85.565011
267.0,85.577813
329.0,85.651994
330.0,85.651994
338.0,85.698351
347.0,85.756323
352.0,85.840628
353.0,85.840565
357.0,85.842377
359.0,85.842636
363.0,85.867052
364.0,85.867075
365.0,85.867075
366.0,85.867075
367.0,85.870348
386.0,85.905877
390.0,85.933554
391.0,86.008954
425.0,85.851824
444.0,85.893493
456.0,85.855042
476.0,85.801218
506.0,85.767806
523.0,85.791647
534.0,85.792343
605.0,85.681904
619.0,85.685429
631.0,85.675775
684.0,85.659512
696.0,85.638442
725.0,85.578894
737.0,85.610931
761.0,85.711827
779.0,85.81578
780.0,85.820343
784.0,85.857455
788.0,85.866146
789.0,85.85941
790.0,85.873559
793.0,85.874254
813.0,85.985313
814.0,86.001283
817.0,85.99501
818.0,85.99501
821.0,85.974095
836.0,85.958821
992.0,85.90124
993.0,85.901549
1012.0,85.863927
1016.0,85.808507
1017.0,85.808507
1022.0,85.779847
1023.0,85.779847
1024.0,85.771847
1025.0,85.771847
1026.0,85.771847
1035.0,85.781973
1036.0,85.779734
1067.0,85.728149
1080.0,85.712291
1299.0,85.893521
1300.0,85.916755
1301.0,85.916773
1302.0,85.916773
1303.0,85.971299
1306.0,86.01471
1307.0,86.022054
1308.0,86.021931
1309.0,86.090354
1310.0,86.090354
1312.0,86.080257
1322.0,86.098089
1335.0,86.138825
1337.0,86.138848
1372.0,86.148385
1375.0,86.156688
1413.0,86.061908
1420.0,86.042893
1468.0,86.13857
