blockchainTimestamp,oraclePrice
1652069091,61.52953631
1652069111,61.49412098
1652069125,61.52754664
1652069128,61.55643515
1652069133,61.5881
1652069134,61.596
1652069136,61.6173
1652069139,61.62646405
1652069143,61.64960144
1652069147,61.64973442
1652069154,61.65996185
1652069155,61.65996185
1652069156,61.70115063
1652069157,61.70115063
1652069160,61.71960929
1652069162,61.7312
1652069167,61.73071966
1652069171,61.73655863
1652069176,61.76694551
1652069183,61.79087998
1652069184,61.79401998
1652069185,61.79401998
1652069187,61.7985
1652069188,61.83848465
1652069194,61.86195923
1652069197,61.87339
1652069201,61.90351369
1652069202,61.91870752
1652069204,61.9237
1652069206,61.9430012
1652069207,61.95014445
1652069210,62.002
1652069211,62.002
1652069217,62.07369139
1652069219,62.07404957
1652069225,62.1
1652069226,62.1
1652069227,62.111
1652069233,62.15326868
1652069235,62.1866656
1652069241,62.24301155
1652069247,62.29453415
1652069248,62.29416793
1652069254,62.26424111
1652069255,62.2535
1652069256,62.27445414
1652069260,62.344
1652069261,62.36258619
1652069262,62.36258619
1652069264,62.37927153
1652069268,62.35733541
1652069270,62.344
1652069291,62.30408636
1652069292,62.31016714
1652069299,62.317587
1652069302,62.32681
1652069304,62.32681
1652069305,62.35382674
1652069307,62.357
1652069348,62.30505129
1652069349,62.2839
1652069351,62.2727
1652069354,62.2476
1652069370,62.33157697
1652069387,62.38312456
1652069389,62.40773779
1652069390,62.42123711
1652069391,62.4405
1652069394,62.45933527
1652069395,62.47592
1652069397,62.49636738
1652069399,62.50904373
1652069402,62.51434744
1652069403,62.5156
1652069405,62.5156
1652069407,62.516
1652069411,62.60224289
1652069413,62.60650789
1652069418,62.61770302
1652069421,62.60525632
1652069422,62.60525632
1652069425,62.5975
1652069429,62.61775284
1652069433,62.62250682
1652069435,62.62170677
1652069441,62.64797376
1652069443,62.65682607
1652069445,62.61609634
1652069452,62.56778217
1652069466,62.58169811
1652069468,62.58169811
1652069472,62.5357641
1652069473,62.50409887
1652069475,62.46759391
1652069478,62.46096502
1652069481,62.45699315
1652069483,62.45699315
1652069492,62.4681
1652069494,62.4778
1652069506,62.51869616
1652069507,62.51869616
1652069510,62.60314439
1652069512,62.6284004
1652069513,62.67119863
1652069514,62.6857275
1652069515,62.689
1652069516,62.689
1652069519,62.701
1652069521,62.7627231
1652069524,62.78451
1652069529,62.81959893
1652069533,62.76393928
1652069535,62.73808453
1652069540,62.72717123
1652069541,62.72799734
1652069544,62.72300047
1652069548,62.71845492
1652069550,62.73936451
1652069554,62.729305
1652069558,62.74450052
1652069566,62.84486689
1652069567,62.83656689
1652069569,62.85105689
1652069571,62.88073202
1652069573,62.89354448
1652069574,62.89981752
1652069575,62.94377949
1652069589,62.8570259
1652069594,62.8327
1652069601,62.80791359
1652069618,62.77407307
1652069626,62.7908919
1652069628,62.7927
1652069639,62.82498178
1652069640,62.82498178
1652069642,62.93440505
1652069643,62.9494
1652069645,62.95265
1652069648,62.95265
1652069649,62.95265
1652069653,63.01309739
1652069655,63.28092776
1652069656,63.31580965
1652069658,63.30550411
1652069660,63.30550411
1652069661,63.305658
1652069663,63.36076764
1652069665,63.36716497
1652069666,63.36716497
1652069670,63.39079285
1652069675,63.39079285
1652069679,63.37892041
1652069680,63.35697531
1652069685,63.37
1652069690,63.43816261
