m0_mark_price,m0_oracle_price,m0_bid_price,m0_ask_price,m0_wouldbe_peg,m0_wouldbe_peg_cost,m0_predicted_long_funding,m0_predicted_short_funding,m0_last_mid_price_twap,m0_repeg_to_oracle_cost,m0_market_index,m0_base_asset_amount_long,m0_base_asset_amount_short,m0_base_asset_amount,m0_total_base_asset_amount,m0_open_interest,m0_total_exchange_fees,m0_total_mm_fees,m0_margin_ratio_initial,m0_margin_ratio_maintenance,m0_margin_ratio_partial,m0_base_asset_reserve,m0_quote_asset_reserve,m0_funding_period,m0_sqrt_k,m0_peg_multiplier,m0_total_lp_tokens,m0_lp_tokens,m0_cumulative_lp_funding,m0_last_funding_rate,m0_last_funding_rate_ts,m0_cumulative_funding_rate_long,m0_cumulative_funding_rate_short,m0_last_oracle_price,m0_last_oracle_conf,m0_last_oracle_normalised_price,m0_last_oracle_price_twap,m0_last_oracle_price_twap_ts,m0_last_mark_price,m0_last_mark_price_twap,m0_last_bid_price_twap,m0_last_ask_price_twap,m0_last_mark_price_twap_ts,m0_net_base_asset_amount,m0_base_spread,m0_mark_std,m0_buy_intensity,m0_sell_intensity,m0_last_spread,m0_bid_price_before,m0_ask_price_before,m0_total_fee,m0_total_fee_minus_distributions,m0_strategies,m0_minimum_quote_asset_trade_size,m0_quote_asset_amount_long,m0_quote_asset_amount_short,m0_terminal_quote_asset_reserve,timestamp,arb0_collateral,arb0_free_collateral,arb0_margin_ratio,arb0_total_position_value,arb0_total_fee_paid,arb0_total_fee_rebate,arb0_open_orders,arb0_cumulative_deposits,arb0_total_collateral,LP1_collateral,LP1_free_collateral,LP1_margin_ratio,LP1_total_position_value,LP1_total_fee_paid,LP1_total_fee_rebate,LP1_open_orders,LP1_cumulative_deposits,LP1_total_collateral,arb0_m0_base_asset_amount,arb0_m0_quote_asset_amount,arb0_m0_last_cumulative_funding_rate,arb0_m0_last_funding_rate_ts,arb0_m0_upnl,arb0_m0_upnl_noslip,arb0_m0_ufunding,LP1_m0_lp_tokens,LP1_m0_last_total_fee_minus_distributions,LP1_m0_last_cumulative_lp_funding,LP1_m0_last_net_base_asset_amount,LP1_m0_last_quote_asset_reserve,LP1_m0_base_asset_amount,LP1_m0_quote_asset_amount,LP1_m0_last_cumulative_funding_rate,LP1_m0_last_funding_rate_ts,LP1_m0_upnl,LP1_m0_upnl_noslip,LP1_m0_ufunding
5.161,5.1619797172887925,5.161,5.161,5.161,0.0,-7.908119739986783e-08,-7.908119739986783e-08,5.161,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,1000,625,500,100000000000000000000,100000000000000000000,3600,100000000000000000000,5161,100000000000000000000,100000000000000000000,0,0,0,0,0,5.1619797172887925,0,5.1619797172887925,5.1619797172887925,0,0,5.161,5.161,5.161,0,0.0,0,0.0,0,0,0,5.161,5.161,0.0,0.0,,10000000,0.0,0.0,100000000000000000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.161,5.710931491603476,5.161,5.161,5.161,0.0,-7.908119739986783e-08,-7.908119739986783e-08,5.161,-0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,1000,625,500,100000000000000000000,100000000000000000000,3600,100000000000000000000,5161,100000000000000000000,100000000000000000000,0,0,0,0,0,5.1619797172887925,0,5.1619797172887925,5.1619797172887925,0,0,5.161,5.161,5.161,0,0.0,0,0.0,0,0,0,5.161,5.161,0.0,0.0,,10000000,0.0,0.0,100000000000000000000,1,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.161,6.422827047741325,5.161,5.161,5.161,0.0,-7.908119739986783e-08,-7.908119739986783e-08,5.161,-0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,1000,625,500,100000000000000000000,100000000000000000000,3600,100000000000000000000,5161,100000000000000000000,100000000000000000000,0,0,0,0,0,5.1619797172887925,0,5.1619797172887925,5.1619797172887925,0,0,5.161,5.161,5.161,0,0.0,0,0.0,0,0,0,5.161,5.161,0.0,0.0,,10000000,0.0,0.0,100000000000000000000,2,20000000000000.0,20000000000000.0,,0.0,0.0,0.0,0.0,20000000000000.0,20000000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.161,5.441449357672106,5.161,5.161,5.161,0.0,-7.908119739986783e-08,-7.908119739986783e-08,5.161,-0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,1000,625,500,100000000000000000000,100000000000000000000,3600,100000000000000000000,5161,100000000000000000000,100000000000000000000,0,0,0,0,0,5.1619797172887925,0,5.1619797172887925,5.1619797172887925,0,0,5.161,5.161,5.161,0,0.0,0,0.0,0,0,0,5.161,5.161,0.0,0.0,,10000000,0.0,0.0,100000000000000000000,3,20000000000000.0,20000000000000.0,,0.0,0.0,0.0,0.0,20000000000000.0,20000000000000.0,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,,,,,,,,,,,,,,,,,,,
6.253443045499815,6.534378435380662,6.253443045499815,6.253443045499815,5.161,-0.0,-7.908119739986783e-08,-7.908119739986783e-08,5.161,1383435.8543445503,0,9.153681979911029e+18,0.0,9.153681979911029e+18,0,1,5200.2275631990005,0.0,1000,625,500,90846318020088971264,110076007679130009600,3600,100000000000000000000,5161,100000000000000000000,100000000000000000000,0,0,0,0,0,6.534378435380662,0,5.1619797172887925,5.1619797172887925,4,0,5.161,5.161,5.161,4,9.153681979911029e+18,0,0.0,0,0,0,5.161,5.161,5200.2275631990005,5200.2275631990005,,10000000,5200227563199.0,0.0,100000000000000000000,4,19994799772436.8,19474777016116.9,3.844985537543803,5200227563198.997,5200227563.199,0.0,0.0,20000000000000.0,19994799772436.797,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,9.153681979911029e+18,5200227563199.0,0.0,0.0,-0.0029296875,5724202.89179916,0.0,,,,,,,,,,,,
6.253443045499815,6.534378435380662,6.253443045499815,6.253443045499815,5.161,-0.0,-7.908119739986783e-08,-7.908119739986783e-08,5.161,1383435.8543445503,0,9.153681979911029e+18,0.0,9.153681979911029e+18,0,1,5200.2275631990005,0.0,1000,625,500,90846318020088971264,110076007679130009600,3600,100000000000000000000,5161,100000000000000000000,100000000000000000000,0,0,0,0,0,6.534378435380662,0,5.1619797172887925,5.1619797172887925,4,0,5.161,5.161,5.161,4,9.153681979911029e+18,0,0.0,0,0,0,5.161,5.161,5200.2275631990005,5200.2275631990005,,10000000,5200227563199.0,0.0,100000000000000000000,4,19994799772436.8,19474777016116.9,3.844985537543803,5200227563198.997,5200227563.199,0.0,0.0,20000000000000.0,19994799772436.797,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,9.153681979911029e+18,5200227563199.0,0.0,0.0,-0.0029296875,5724202.89179916,0.0,,,,,,,,,,,,
6.253443045499815,6.534378435380662,6.253443045499815,6.253443045499815,5.161,-0.0,-7.908119739986783e-08,-7.908119739986783e-08,5.161,1383435.8543445503,0,9.153681979911029e+18,0.0,9.153681979911029e+18,0,1,5200.2275631990005,0.0,1000,625,500,90846318020088971264,110076007679130009600,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,6.534378435380662,0,5.1619797172887925,5.1619797172887925,4,0,5.161,5.161,5.161,4,9.153681979911029e+18,0,0.0,0,0,0,5.161,5.161,5200.2275631990005,5200.2275631990005,,10000000,5200227563199.0,0.0,100000000000000000000,4,19994799772436.8,19474777016116.9,3.844985537543803,5200227563198.997,5200227563.199,0.0,0.0,20000000000000.0,19994799772436.797,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,9.153681979911029e+18,5200227563199.0,0.0,0.0,-0.0029296875,5724202.89179916,0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
6.47171316599983,6.534378435380662,6.47171316599983,6.47171316599983,5.161,-0.0,-8.535199671436786e-08,-8.535199671436786e-08,5.161,1644933.2154560732,0,1.0698799093334983e+19,0.0,1.0698799093334983e+19,0,1,6183.175764726,0.0,1000,625,500,89301200906665017344,111980576951610146816,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,6.534378435380662,0,5.1619797172887925,5.1623609391549286,5,0,5.161303456401527,5.161,5.161,5,1.0698799093334983e+19,0,0.0,0,0,0,6.253443045499815,6.253443045499815,6183.175764726,6183.175764726,,10000000,6183175764726.0,0.0,100000000000000000000,5,19993816824235.273,19375499247762.67,3.233583773939715,6183175764725.996,6183175764.726,0.0,0.0,20000000000000.0,19993816824235.27,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,1.0698799093334983e+19,6183175764726.0,0.0,0.0,-0.00390625,6923955.895272305,0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
6.47171316599983,6.534378435380662,6.47171316599983,6.47171316599983,5.161,-0.0,-8.535199671436786e-08,-8.535199671436786e-08,5.161,1644933.2154560732,0,1.0698799093334983e+19,0.0,1.0698799093334983e+19,0,1,6183.175764726,0.0,1000,625,500,89301200906665017344,111980576951610146816,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,6.534378435380662,0,5.1619797172887925,5.1623609391549286,5,0,5.161303456401527,5.161,5.161,5,1.0698799093334983e+19,0,0.0,0,0,0,6.253443045499815,6.253443045499815,6183.175764726,6183.175764726,,10000000,6183175764726.0,0.0,100000000000000000000,5,19993816824235.273,19375499247762.67,3.233583773939715,6183175764725.996,6183175764.726,0.0,0.0,20000000000000.0,19993816824235.27,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,1.0698799093334983e+19,6183175764726.0,0.0,0.0,-0.00390625,6923955.895272305,0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
6.47171316599983,6.534378435380662,6.47171316599983,6.47171316599983,5.161,-0.0,-8.535199671436786e-08,-8.535199671436786e-08,5.161,1644933.2154560732,0,1.0698799093334983e+19,0.0,1.0698799093334983e+19,0,1,6183.175764726,0.0,1000,625,500,89301200906665017344,111980576951610146816,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,6.534378435380662,0,5.1619797172887925,5.1623609391549286,5,0,5.161303456401527,5.161,5.161,5,1.0698799093334983e+19,0,0.0,0,0,0,6.253443045499815,6.253443045499815,6183.175764726,6183.175764726,,10000000,6183175764726.0,0.0,100000000000000000000,5,19993816824235.273,19375499247762.67,3.233583773939715,6183175764725.996,6183175764.726,0.0,0.0,20000000000000.0,19993816824235.27,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,1.0698799093334983e+19,6183175764726.0,0.0,0.0,-0.00390625,6923955.895272305,0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
