base_asset_amount_long,base_asset_amount_short,base_asset_amount,total_base_asset_amount,open_interest,total_fees,total_exchange_fees,total_mm_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,last_oracle_price,last_oracle_conf,last_oracle_normalised_price,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_bid_price_twap,last_ask_price_twap,last_mark_price_twap_ts,base_spread,mark_std,buy_intensity,sell_intensity,last_spread,bid_price_before,ask_price_before,total_fee,total_fee_minus_distributions,strategies,oracle_price,mark_price,bid_price,ask_price,wouldbe_peg,predicted_long_funding,predicted_short_funding,last_mid_price_twap,repeg_to_oracle_cost,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1000,625,500,3.67621620525518e+18,3.67621620525518e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,0,85.572,85.572,85.572,0,1000.0,0.0,0,0,1000.0,85.52921934825001,85.61479134825,0.0,0.0,InventorySkew,85.572105,85.572,85.52921934825001,85.61479134825,85.572,-5.112647397901837e-10,-5.112647397901837e-10,85.572,0.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1000,625,500,3.67621620525518e+18,3.67621620525518e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,0,85.572,85.572,85.572,0,1000.0,0.0,0,0,1000.0,85.52921934825001,85.61479134825,0.0,0.0,InventorySkew,85.572105,85.572,85.52921934825001,85.61479134825,85.572,-5.112647397901837e-10,-5.112647397901837e-10,85.572,0.0,0.0,0.0,0.0,0.0,10000000000000.0,0.0,10000000000000.0,0.0,10000000000000.0,,0.0
288225119430656.0,0.0,288225119430656.0,288225119430656.0,1,2.5722234346155837,2466698.920529814,105524.51408576965,1000,625,500,3.675927967804085e+18,3.6765044653075953e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57197623297124,85.57202377297125,2,1000.0,0.000581898819206117,0,0,85.572105,85.52921934825001,85.61479134825,2572223.4346155836,2572223.4346155836,InventorySkew,85.572105,85.5714181011808,85.52863774034383,85.64776740098108,85.558,-5.112647398593792e-10,-5.112647398593792e-10,85.57200000297124,-0.0,288225119430656.0,2466698920.529814,0.0,0.0,9999997533301.08,-105524.51408576965,9999997427776.566,0.0,9999750768436.965,4054.173437717581,2466593396.015728
288225119430656.0,0.0,288225119430656.0,288225119430656.0,1,2.5722234346155837,2466698.920529814,105524.51408576965,1000,625,500,3.675927967804085e+18,3.6765044653075953e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57197623297124,85.57202377297125,2,1000.0,0.000581898819206117,0,0,1784.0601177985404,85.52921934825001,85.61479134825,2572223.4346155836,2572223.4346155836,InventorySkew,85.572105,85.5714181011808,85.52863774034383,85.64776740098108,85.558,-5.112647398593792e-10,-5.112647398593792e-10,85.57200000297124,-0.0,288225119430656.0,2466698920.529814,0.0,0.0,9999997533301.08,-105524.51408576965,9999997427776.566,0.0,9999750768436.965,4054.173437717581,2466593396.015728
288225119430656.0,0.0,288225119430656.0,288225119430656.0,1,2.5722234346155837,2466698.920529814,105524.51408576965,1000,625,500,3.675927967804085e+18,3.6765044653075953e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57197623297124,85.57202377297125,2,1000.0,0.000581898819206117,0,0,1784.0601177985404,85.52921934825001,85.61479134825,2572223.4346155836,2572223.4346155836,InventorySkew,85.572105,85.5714181011808,85.52863774034383,85.64776740098108,85.558,-5.112647398593792e-10,-5.112647398593792e-10,85.57200000297124,-0.0,288225119430656.0,2466698920.529814,0.0,0.0,9999997533301.08,-105524.51408576965,9999997427776.566,0.0,9999750768436.965,4054.173437717581,2466593396.015728
288225119430656.0,0.0,288225119430656.0,288225119430656.0,1,2.5722234346155837,2466698.920529814,105524.51408576965,1000,625,500,3.675927967804085e+18,3.6765044653075953e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57197623297124,85.57202377297125,2,1000.0,0.000581898819206117,0,0,1784.0601177985404,85.52921934825001,85.61479134825,2572223.4346155836,2572223.4346155836,InventorySkew,85.628215,85.5714181011808,85.58461852195933,85.70382615614663,85.614,-5.112647398593792e-10,-5.112647398593792e-10,85.57200000297124,1.6141872362090497,288225119430656.0,2466698920.529814,0.0,0.0,9999997533301.08,-105524.51408576965,9999997427776.566,0.0,9999750768436.965,4054.173437717581,2466593396.015728
288225119430656.0,0.0,288225119430656.0,288225119430656.0,1,2.5722234346155837,2466698.920529814,105524.51408576965,1000,625,500,3.675927967804085e+18,3.6765044653075953e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57197623297124,85.57202377297125,2,1000.0,0.000581898819206117,0,0,1784.0601177985404,85.52921934825001,85.61479134825,2572223.4346155836,2572223.4346155836,InventorySkew,85.628215,85.5714181011808,85.58461852195933,85.70382615614663,85.614,-5.112647398593792e-10,-5.112647398593792e-10,85.57200000297124,1.6141872362090497,288225119430656.0,2466698920.529814,0.0,0.0,9999997533301.08,-105524.51408576965,9999997427776.566,0.0,9999750768436.965,4054.173437717581,2466593396.015728
288225119430656.0,0.0,288225119430656.0,288225119430656.0,1,2.5722234346155837,2466698.920529814,105524.51408576965,1000,625,500,3.675927967804085e+18,3.6765044653075953e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57197623297124,85.57202377297125,2,1000.0,0.000581898819206117,0,0,1784.0601177985404,85.52921934825001,85.61479134825,2572223.4346155836,2572223.4346155836,InventorySkew,85.628215,85.5714181011808,85.58461852195933,85.70382615614663,85.614,-5.112647398593792e-10,-5.112647398593792e-10,85.57200000297124,1.6141872362090497,288225119430656.0,2466698920.529814,0.0,0.0,9999997533301.08,-105524.51408576965,9999997427776.566,0.0,9999750768436.965,4054.173437717581,2466593396.015728
288225119430656.0,0.0,288225119430656.0,288225119430656.0,1,2.5722234346155837,2466698.920529814,105524.51408576965,1000,625,500,3.675927967804085e+18,3.6765044653075953e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57197623297124,85.57202377297125,2,1000.0,0.000581898819206117,0,0,1784.0601177985404,85.52921934825001,85.61479134825,2572223.4346155836,2572223.4346155836,InventorySkew,85.628215,85.5714181011808,85.58461852195933,85.70382615614663,85.614,-5.112647398593792e-10,-5.112647398593792e-10,85.57200000297124,1.6141872362090497,288225119430656.0,2466698920.529814,0.0,0.0,9999997533301.08,-105524.51408576965,9999997427776.566,0.0,9999750768436.965,4054.173437717581,2466593396.015728
288225119430656.0,0.0,288225119430656.0,288225119430656.0,1,2.5722234346155837,2466698.920529814,105524.51408576965,1000,625,500,3.675927967804085e+18,3.6765044653075953e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57197623297124,85.57202377297125,2,1000.0,0.000581898819206117,0,0,1784.0601177985404,85.52921934825001,85.61479134825,2572223.4346155836,2572223.4346155836,InventorySkew,85.628215,85.5714181011808,85.58461852195933,85.70382615614663,85.614,-5.112647398593792e-10,-5.112647398593792e-10,85.57200000297124,1.6141872362090497,288225119430656.0,2466698920.529814,0.0,0.0,9999997533301.08,-105524.51408576965,9999997427776.566,0.0,9999750768436.965,4054.173437717581,2466593396.015728
