base_asset_amount_long,base_asset_amount_short,net_base_asset_amount,total_base_asset_amount,open_interest,total_fees,total_exchange_fees,total_mm_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,last_oracle_price,last_oracle_conf,last_oracle_normalised_price,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_mid_price_twap,last_mark_price_twap_ts,base_spread,mark_std,buy_intensity,sell_intensity,last_spread,bid_price_before,ask_price_before,strategies,oracle_price,mark_price,bid_price,ask_price,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value
0.0,0,0.0,0.0,0,0.0,0.0,0.0,1000,625,500,3.67621620525518e+18,3.67621620525518e+18,3600,3.67621e+18,85572,0,0,0,0,85.572105,0,85.572105,85.572105,0,85.572,0,0,1000.0,0.0,0,0,0.0,0.0,0.0,VolatilityScale,85.572105,85.572,85.52950808642291,85.6150803753055,,,,,,,,,,,
0.0,0,0.0,0.0,0,0.0,0.0,0.0,1000,625,500,3.67621620525518e+18,3.67621620525518e+18,3600,3.67621e+18,85572,0,0,0,0,85.572105,0,85.572105,85.572105,0,85.572,0,0,1000.0,0.0,0,0,0.0,0.0,0.0,VolatilityScale,85.572105,85.572,85.52950808642291,85.6150803753055,0.0,0.0,0.0,0.0,10000000000000.0,0.0,10000000000000.0,0.0,10000000000000.0,,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,1000,625,500,3.67621620525518e+18,3.67621620525518e+18,3600,3.67621e+18,85572,0,0,0,0,85.572105,0,85.572105,85.572105,0,85.572,0,0,1000.0,0.0,0,0,1000.0,0.0,0.0,VolatilityScale,85.572105,85.572,85.52950808642291,85.6150803753055,0.0,0.0,0.0,0.0,10000000000000.0,0.0,10000000000000.0,0.0,10000000000000.0,,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,1000,625,500,3.67621620525518e+18,3.67621620525518e+18,3600,3.67621e+18,85572,0,0,0,0,85.572105,0,85.572105,85.572105,0,85.572,0,0,1000.0,0.0,0,0,1000.0,0.0,0.0,VolatilityScale,85.572105,85.572,85.52950808642291,85.6150803753055,0.0,0.0,0.0,0.0,10000000000000.0,0.0,10000000000000.0,0.0,10000000000000.0,,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,1000,625,500,3.67621620525518e+18,3.67621620525518e+18,3600,3.67621e+18,85572,0,0,0,0,85.572105,0,85.572105,85.572105,0,85.572,0,0,1000.0,0.0,0,0,1000.0,0.0,0.0,VolatilityScale,85.572105,85.572,85.52950808642291,85.6150803753055,0.0,0.0,0.0,0.0,10000000000000.0,0.0,10000000000000.0,0.0,10000000000000.0,,0.0
282018094769664.0,0,282018094769664.0,282018094769664.0,1,2516902.0210440974,2413581.872347198,103320.14869689941,1000,625,500,3.675921764586505e+18,3.676498258014534e+18,3600,3.67621e+18,85572,0,0,0,0,85.628215,0,85.572105,85.572105,5,85.572,0,5,1000.0,0.013420224581082607,0,0,85.628215,855295080864.2291,856150803753.0549,VolatilityScale,85.628215,85.58542022458109,85.54263286355756,85.62821828378215,282018094769664.0,2413581872.347198,0.0,0.0,9999997586418.127,-103320.14869689941,9999997483097.979,0.0,9999756135242.758,4143.3960430221005,2413478552.198501
282018094769664.0,0,282018094769664.0,282018094769664.0,1,2516902.0210440974,2413581.872347198,103320.14869689941,1000,625,500,3.675921764586505e+18,3.676498258014534e+18,3600,3.67621e+18,85572,0,0,0,0,85.628215,0,85.572105,85.572105,5,85.572,0,5,1000.0,0.013420224581082607,0,0,1000.0,855295080864.2291,856150803753.0549,VolatilityScale,85.628215,85.58542022458109,85.54263286355756,85.62821828378215,282018094769664.0,2413581872.347198,0.0,0.0,9999997586418.127,-103320.14869689941,9999997483097.979,0.0,9999756135242.758,4143.3960430221005,2413478552.198501
282018094769664.0,0,282018094769664.0,282018094769664.0,1,2516902.0210440974,2413581.872347198,103320.14869689941,1000,625,500,3.675921764586505e+18,3.676498258014534e+18,3600,3.67621e+18,85572,0,0,0,0,85.628215,0,85.572105,85.572105,5,85.572,0,5,1000.0,0.013420224581082607,0,0,1000.0,855295080864.2291,856150803753.0549,VolatilityScale,85.628215,85.58542022458109,85.54263286355756,85.62821828378215,282018094769664.0,2413581872.347198,0.0,0.0,9999997586418.127,-103320.14869689941,9999997483097.979,0.0,9999756135242.758,4143.3960430221005,2413478552.198501
282018094769664.0,0,282018094769664.0,282018094769664.0,1,2516902.0210440974,2413581.872347198,103320.14869689941,1000,625,500,3.675921764586505e+18,3.676498258014534e+18,3600,3.67621e+18,85572,0,0,0,0,85.628215,0,85.572105,85.572105,5,85.572,0,5,1000.0,0.013420224581082607,0,0,1000.0,855295080864.2291,856150803753.0549,VolatilityScale,85.628215,85.58542022458109,85.54263286355756,85.62821828378215,282018094769664.0,2413581872.347198,0.0,0.0,9999997586418.127,-103320.14869689941,9999997483097.979,0.0,9999756135242.758,4143.3960430221005,2413478552.198501
282018094769664.0,0,282018094769664.0,282018094769664.0,1,2516902.0210440974,2413581.872347198,103320.14869689941,1000,625,500,3.675921764586505e+18,3.676498258014534e+18,3600,3.67621e+18,85572,0,0,0,0,85.628215,0,85.572105,85.572105,5,85.572,0,5,1000.0,0.013420224581082607,0,0,1000.0,855295080864.2291,856150803753.0549,VolatilityScale,85.628215,85.58542022458109,85.54263286355756,85.62821828378215,282018094769664.0,2413581872.347198,0.0,0.0,9999997586418.127,-103320.14869689941,9999997483097.979,0.0,9999756135242.758,4143.3960430221005,2413478552.198501
